"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"153","-5892.7001953125","-5892.7001953125","-5892.7001953125","-5839.369140625","-5839.369140625","-5839.369140625","-5829.3359375","-5829.3359375","-5829.3359375"
"154","-5892.056640625","-5892.056640625","-5892.056640625","-5838.8896484375","-5838.8896484375","-5838.8896484375","-5828.9189453125","-5828.9189453125","-5828.9189453125"
"155","-5889.623046875","-5889.623046875","-5889.623046875","-5840.990234375","-5840.990234375","-5840.990234375","-5828.6416015625","-5828.6416015625","-5828.6416015625"
"156","-5890.0986328125","-5890.0986328125","-5890.0986328125","-5841.1640625","-5841.1640625","-5841.1640625","-5828.0302734375","-5828.0302734375","-5828.0302734375"
"157","-5889.65234375","-5889.65234375","-5889.65234375","-5836.791015625","-5836.791015625","-5836.791015625","-5827.53125","-5827.53125","-5827.53125"
"158","-5888.74609375","-5888.74609375","-5888.74609375","-5836.1181640625","-5836.1181640625","-5836.1181640625","-5827.2587890625","-5827.2587890625","-5827.2587890625"
"159","-5887.3447265625","-5887.3447265625","-5887.3447265625","-5840.638671875","-5840.638671875","-5840.638671875","-5826.7568359375","-5826.7568359375","-5826.7568359375"
"160","-5885.4658203125","-5885.4658203125","-5885.4658203125","-5835.08984375","-5835.08984375","-5835.08984375","-5826.271484375","-5826.271484375","-5826.271484375"
"161","-5883.916015625","-5883.916015625","-5883.916015625","-5840.228515625","-5840.228515625","-5840.228515625","-5826.3857421875","-5826.3857421875","-5826.3857421875"
"162","-5882.5615234375","-5882.5615234375","-5882.5615234375","-5840.224609375","-5840.224609375","-5840.224609375","-5825.712890625","-5825.712890625","-5825.712890625"
